collection,cumulativeTradeVolumeETH,dailyMaxSalePrice,dailyMinSalePrice,dailyTradeVolumeETH,dailyTradedItemCount,transaction_date,dailyMinSalePrice_USD,dailyMaxSalePrice_USD,DailyTradeVolumeUSD
Cryptovoxels Parcel,277.0380867514869,0.4199,0.301001,1.660911,5,2022-09-30,406.5465659532188,567.137328592784,2243.3070435112395
Somnium Space Land,204.66499789,0.8,0.8,0.8,1,2022-09-30,1080.518844663556,1080.518844663556,1080.518844663556
NFT Worlds,2980.152622120839,0.75,0.6,2.62,4,2022-09-30,810.389133497667,1012.9864168720836,3538.6992162731462
Decentraland LAND,698.03154421499,1.755,1.755,1.755,1,2022-09-30,2371.2860793232403,2371.2860793232403,2371.2860793232403
Sandbox's LANDs,5903.1111953676755,2.38,1.2,53.9774,32,2022-09-30,1620.778266995334,3214.5435628740797,72904.49735742829
Somnium Space Land,203.86499789,2.05,2.05,2.05,1,2022-09-29,2741.881697044488,2741.881697044488,2741.881697044488
Sandbox's LANDs,5849.133795367675,3.6,1.25,47.978,26,2022-09-29,1671.8790835637126,4815.011760663492,64170.73173697584
Cryptovoxels Parcel,275.3771757514869,1.25,0.499,1.749,2,2022-09-29,667.4141301586341,1671.8790835637126,2339.2932137223465
NFT Worlds,2977.5326221208393,2.0,0.78,22.9994,20,2022-09-29,1043.2525481437567,2675.00653370194,30761.7726356122
Decentraland LAND,696.27654421499,2.3,1.7,4.0,2,2022-09-29,2273.755553646649,3076.2575137572308,5350.01306740388
Sandbox's LANDs,5801.155795367676,1.95,1.35,55.489,35,2022-09-28,1806.7911384832016,2609.8094222535133,74264.4692468847
NFT Worlds,2954.533222120839,0.99,0.7500999999999999,7.1101,8,2022-09-28,1003.906691093518,1324.9801682210143,9515.900499058822
Cryptovoxels Parcel,273.6281757514869,0.46,0.4199,1.2999,3,2022-09-28,561.9789622585898,615.6473508905724,1739.7391117883806
Decentraland LAND,692.27654421499,2.0,1.3476152250000002,8.593615225,4,2022-09-28,1803.599441937071,2676.727612567706,11501.38358226987
Sandbox's LANDs,5745.666795367675,1.995,1.1101,39.6772,22,2022-09-27,1476.61959920396,2653.685344033781,52777.34542972287
Cryptovoxels Parcel,272.3282757514869,0.335001,0.3301,0.665101,2,2022-09-27,439.08848725090274,445.6076410710078,1000.0
NFT Worlds,2947.4231221208393,2.49,0.75,19.9198,19,2022-09-27,997.626069185632,3312.118549696298,26496.68236395193
Decentraland LAND,683.68292898999,1.743,1.251,4.694,2,2022-09-27,1664.0402834016338,2318.4829847874084,6243.809025009808
Sandbox's LANDs,5705.989595367675,3.269,0.005,58.33505402334656,170,2022-09-26,120.0,4360.097666204391,77805.60810801481
Decentraland LAND,678.98892898999,1.75,1.75,1.75,1,2022-09-26,2334.099393043036,2334.099393043036,2334.099393043036
NFT Worlds,2927.503322120839,1.59,0.6,28.0738,34,2022-09-26,800.2626490433266,2120.696019964816,37444.0225945209
Cryptovoxels Parcel,271.6631747514869,0.3194,0.3194,0.3194,1,2022-09-26,426.0064835073976,426.0064835073976,1000.0
NFT Worlds,2899.429522120839,1.49,0.599,7.874,11,2022-09-25,775.202844992743,1928.300899898476,10190.229050872886
Sandbox's LANDs,5647.654541344329,1.836,1.35,26.881,18,2022-09-25,1747.1182650086864,2376.0808404118134,34788.36006051741
Cryptovoxels Parcel,271.3437747514869,0.48,0.42,1.35,3,2022-09-25,543.547904669369,621.1976053364218,1747.1182650086864
Decentraland LAND,677.23892898999,1.85,1.85,1.85,1,2022-09-25,2394.1991039007926,2394.1991039007926,2394.1991039007926
Sandbox's LANDs,5620.773541344329,2.376,1.1101,47.7120999,28,2022-09-24,1461.8375162860743,3128.840589762825,62829.778951994456
Somnium Space Land,201.81499789,3.75,3.75,18.75,5,2022-09-24,4938.195375256984,4938.195375256984,24690.97687628492
NFT Worlds,2891.555522120839,1.49,0.5105,3.1815,4,2022-09-24,672.252997084984,1962.1096291021083,4189.564956368025
Decentraland LAND,675.38892898999,1.989,1.251,3.24,2,2022-09-24,1647.3819771857295,2619.2188270363044,4266.600804222035
Cryptovoxels Parcel,269.99377475148685,0.9,0.9,1.8,2,2022-09-23,1194.1117194743858,1194.1117194743858,2388.223438948772
Sandbox's LANDs,5573.061441444329,3.3,1.0695,165.736348,98,2022-09-23,1419.002759975395,4378.409638072748,200000.0
NFT Worlds,2888.374022120839,0.8,0.6,3.27,5,2022-09-23,796.0744796495906,1061.4326395327876,4338.605914090269
Somnium Space Land,183.06499789,6.5,6.5,6.5,1,2022-09-23,8624.140196203898,8624.140196203898,8624.140196203898
Decentraland LAND,672.14892898999,1.7,1.7,1.7,1,2022-09-23,2255.544359007173,2255.544359007173,2255.544359007173
NFT Worlds,2885.104022120839,1.3,0.49,8.5565,13,2022-09-22,650.7273267767741,1726.41943838736,11363.159941970343
Sandbox's LANDs,5407.325093444329,2.0,0.911,172.6586526,136,2022-09-22,1209.8216218237578,2656.0299052113232,200000.0
Decentraland LAND,670.44892898999,2.3,2.3,2.3,1,2022-09-22,3054.4343909930217,3054.4343909930217,3054.4343909930217
Cryptovoxels Parcel,268.1937747514869,0.98,0.401,1.7828,3,2022-09-22,532.5339959948703,1301.4546535535485,2367.585057505373
